Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-July-2018,2000,2008.85,1991.2,2005.05,2005.09609192207,86334,4188,173107966,36751,42.57,17.65,5.05
20-July-2018,1983.05,2000,1983,1995.95,1993.20188200533,62274,3603,124124654,21386,34.34,17,12.9
19-July-2018,1999,2009.95,1970.55,1981.45,1984.88641907073,83227,4013,165196142,25400,30.52,39.4,-17.55
18-July-2018,2005.5,2009.9,1993,1997.3,1999.58366546629,78031,3924,156029513,27822,35.66,16.9,-8.2
17-July-2018,1988,2005.45,1982,1997.85,1994.7309101705,117890,5198,235158827,38259,32.45,23.45,9.85
16-July-2018,1985.05,1996,1978.4,1988.8,1988.29569057816,112080,5663,222848181,39625,35.35,17.6,3.75
13-July-2018,1975,1998,1975,1981.25,1983.59412540077,975624,8702,1935242035,801754,82.18,23,6.25
12-July-2018,1984,1992,1961.5,1971,1972.80670041494,602500,13828,1188616037,359504,59.67,30.5,-13
11-July-2018,1900,1995,1894,1979.6,1956.9857512293,1157363,44817,2264942900,294374,25.43,101,79.6
10-July-2018,1895.2,1900,1872.6,1877,1882.593829355,433180,18579,815501995,209864,48.45,27.4,-18.2
9-July-2018,1927.95,1930,1882,1887.65,1890.65493350705,374551,11215,708146696,206640,55.17,48,-40.3
6-July-2018,1882.8,1920.3,1880,1913.3,1908.6339575507,211358,8164,403405056,98826,46.76,40.3,30.5
5-July-2018,1875.2,1887,1864,1881.7,1876.18094737986,110452,5257,207227938,46388,42,23,6.5
4-July-2018,1879,1880,1860.1,1869.65,1867.08384795532,138775,9587,259104561,80734,58.18,19.9,-9.35
3-July-2018,1859.95,1880,1858,1875.9,1873.28981441388,163967,7300,307157711,73061,44.56,22,15.95
2-July-2018,1829.95,1859.95,1829.95,1855.6,1854.44833575485,151420,8013,280800567,80437,53.12,30,25.65
29-June-2018,1846,1868,1843,1847.2,1851.53144828007,229631,12213,425169018,106610,46.43,25,1.2
28-June-2018,1865,1872,1830.15,1847.3,1848.32622691388,333642,14288,616679259,142048,42.57,41.85,-17.7
27-June-2018,1859.8,1886.2,1852,1859.8,1871.34069792931,474432,14800,887823910,268177,56.53,34.2,0
